Elevation,North,South,Total
4218.5,13743430.22,22742793.84,36486224.06
4218.6,13830199.02,22848953.84,36679152.86
4218.7,13921679.02,22955113.84,36876792.86
4218.8,14013159.02,23061799.24,37074958.26
4218.9,14104639.02,23168699.24,37273338.26
4219,14196119.02,23275599.24,37471718.26
4219.1,14287599.02,23382499.24,37670098.26
4219.2,14379079.02,23489399.24,37868478.26
4219.3,14470559.02,23596299.24,38066858.26
4219.4,14562039.02,23703199.24,38265238.26
4219.5,14653519.02,23810099.24,38463618.26
4219.6,14744999.02,23916999.24,38661998.26
4219.7,14836479.02,24023899.24,38860378.26
4219.8,14927959.02,24130799.24,39058758.26
4219.9,15019439.02,24237699.24,39257138.26
4220,15110919.02,24344599.24,39455518.26
